Block	Previous_Time	Current_Time	Orientation	Accuracy	Response_Time	Key
1	 4.166667E+02	 6.016667E+02	 1	 0	 NaN	 0	 
1	 5.000000E+02	 3.150000E+02	 -1	 1	 5.920320E-01	 1	 
1	 5.000000E+02	 6.600000E+02	 1	 1	 3.256731E-01	 2	 
1	 4.166667E+02	 6.766667E+02	 1	 1	 1.125323E+00	 2	 
1	 3.846154E+02	 1.996154E+02	 -1	 1	 5.248709E-01	 1	 
1	 5.000000E+02	 6.350000E+02	 1	 0	 3.546090E-01	 1	 
1	 3.571429E+02	 5.421429E+02	 1	 1	 4.477539E-01	 2	 
1	 4.545455E+02	 6.395455E+02	 1	 1	 3.951561E-01	 2	 
1	 3.571429E+02	 5.171429E+02	 1	 1	 3.135099E-01	 2	 
1	 3.571429E+02	 4.921429E+02	 1	 1	 2.838368E-01	 2	 
1	 3.571429E+02	 4.671429E+02	 1	 1	 3.275752E-01	 2	 
1	 4.545455E+02	 2.945455E+02	 -1	 1	 6.477661E-01	 1	 
1	 4.545455E+02	 5.895455E+02	 1	 1	 1.686342E-01	 2	 
1	 4.545455E+02	 5.645455E+02	 1	 1	 2.990170E-01	 2	 
1	 3.846154E+02	 2.246154E+02	 -1	 1	 4.686902E-01	 1	 
1	 3.571429E+02	 2.721429E+02	 -1	 1	 4.917200E-01	 1	 
1	 3.571429E+02	 4.421429E+02	 1	 1	 3.104420E-01	 2	 
1	 3.571429E+02	 4.171429E+02	 1	 1	 3.567750E-01	 2	 
1	 5.000000E+02	 2.900000E+02	 -1	 1	 3.255179E-01	 1	 
1	 5.000000E+02	 3.150000E+02	 -1	 1	 5.450270E-01	 1	 
1	 3.571429E+02	 4.171429E+02	 1	 1	 2.098508E-01	 2	 
1	 4.545455E+02	 5.395455E+02	 1	 1	 5.897892E-01	 2	 
1	 3.571429E+02	 3.221429E+02	 -1	 1	 8.373249E-01	 1	 
1	 4.166667E+02	 1.816667E+02	 -1	 0	 7.230668E-01	 2	 
1	 3.571429E+02	 3.221429E+02	 -1	 1	 1.256344E+00	 1	 
1	 3.846154E+02	 5.196154E+02	 1	 1	 5.785830E-01	 2	 
1	 3.571429E+02	 3.921429E+02	 1	 0	 5.074320E-01	 1	 
1	 4.545455E+02	 3.695455E+02	 -1	 1	 1.042520E+00	 1	 
1	 5.000000E+02	 3.150000E+02	 -1	 1	 5.105522E-01	 1	 
1	 3.846154E+02	 2.746154E+02	 -1	 1	 4.749331E-01	 1	 
1	 4.545455E+02	 5.145455E+02	 1	 1	 3.476021E-01	 2	 
1	 3.571429E+02	 2.971429E+02	 -1	 1	 6.208160E-01	 1	 
1	 5.000000E+02	 6.600000E+02	 1	 1	 3.207068E-01	 2	 
1	 5.000000E+02	 6.600000E+02	 1	 0	 6.554539E-01	 1	 
1	 5.000000E+02	 2.900000E+02	 -1	 0	 5.387161E-01	 2	 
1	 5.000000E+02	 7.600000E+02	 1	 1	 8.199439E-01	 2	 
1	 3.846154E+02	 4.696154E+02	 1	 1	 7.573071E-01	 2	 
1	 4.545455E+02	 3.945455E+02	 -1	 1	 5.595388E-01	 1	 
1	 4.545455E+02	 4.895455E+02	 1	 0	 4.596050E-01	 1	 
1	 4.545455E+02	 5.145455E+02	 1	 0	 4.111252E-01	 1	 
1	 4.545455E+02	 3.445455E+02	 -1	 1	 1.033223E+00	 1	 
1	 4.545455E+02	 3.695455E+02	 -1	 1	 4.670072E-01	 1	 
1	 5.000000E+02	 2.400000E+02	 -1	 1	 4.272621E-01	 1	 
1	 3.571429E+02	 4.171429E+02	 1	 1	 6.195829E-01	 2	 
1	 4.166667E+02	 1.566667E+02	 -1	 1	 4.609411E-01	 1	 
1	 4.166667E+02	 6.766667E+02	 1	 1	 3.925290E-01	 2	 
1	 3.571429E+02	 2.971429E+02	 -1	 0	 1.140908E+00	 2	 
1	 4.545455E+02	 5.395455E+02	 1	 0	 1.176579E+00	 1	 
1	 4.545455E+02	 3.195455E+02	 -1	 0	 4.892409E-01	 2	 
1	 3.846154E+02	 2.996154E+02	 -1	 1	 8.306551E-01	 1	 
1	 5.000000E+02	 7.350000E+02	 1	 1	 4.000540E-01	 2	 
1	 3.571429E+02	 4.921429E+02	 1	 1	 3.809218E-01	 2	 
1	 3.846154E+02	 4.446154E+02	 1	 0	 5.462680E-01	 1	 
1	 3.846154E+02	 2.746154E+02	 -1	 1	 5.505180E-01	 1	 
1	 3.571429E+02	 2.471429E+02	 -1	 1	 4.342091E-01	 1	 
1	 4.166667E+02	 1.566667E+02	 -1	 1	 4.428711E-01	 1	 
1	 5.000000E+02	 2.650000E+02	 -1	 1	 3.237860E-01	 1	 
1	 4.166667E+02	 1.566667E+02	 -1	 1	 5.069129E-01	 1	 
1	 4.166667E+02	 6.766667E+02	 1	 1	 3.053100E-01	 2	 
1	 3.846154E+02	 4.696154E+02	 1	 1	 8.276100E-01	 2	 
1	 3.846154E+02	 4.696154E+02	 1	 0	 1.096364E+00	 1	 
1	 4.545455E+02	 2.195455E+02	 -1	 1	 6.944840E-01	 1	 
1	 5.000000E+02	 2.150000E+02	 -1	 1	 8.140988E-01	 1	 
1	 3.571429E+02	 4.421429E+02	 1	 1	 5.621979E-01	 2	 
1	 4.166667E+02	 1.566667E+02	 -1	 1	 3.852122E-01	 1	 
1	 4.545455E+02	 2.445455E+02	 -1	 1	 9.042811E-01	 1	 
1	 4.166667E+02	 6.516667E+02	 1	 1	 4.115860E-01	 2	 
1	 3.846154E+02	 5.196154E+02	 1	 1	 6.549740E-01	 2	 
1	 4.166667E+02	 1.816667E+02	 -1	 1	 4.690349E-01	 1	 
1	 3.846154E+02	 4.946154E+02	 1	 1	 6.164830E-01	 2	 
1	 3.846154E+02	 4.946154E+02	 1	 1	 2.949169E-01	 2	 
1	 5.000000E+02	 2.650000E+02	 -1	 1	 4.752421E-01	 1	 
1	 3.571429E+02	 2.721429E+02	 -1	 1	 1.169778E+00	 1	 
1	 3.571429E+02	 2.721429E+02	 -1	 0	 8.135600E-01	 2	 
1	 5.000000E+02	 7.100000E+02	 1	 1	 3.595750E-01	 2	 
1	 4.166667E+02	 1.816667E+02	 -1	 1	 6.371799E-01	 1	 
1	 4.166667E+02	 1.816667E+02	 -1	 1	 6.318581E-01	 1	 
1	 4.166667E+02	 6.516667E+02	 1	 1	 3.060329E-01	 2	 
1	 3.846154E+02	 4.946154E+02	 1	 1	 6.777620E-01	 2	 
1	 3.571429E+02	 7.214286E+01	 -1	 1	 5.237370E-01	 1	 
1	 4.166667E+02	 6.266667E+02	 1	 1	 3.947401E-01	 2	 
1	 4.545455E+02	 6.395455E+02	 1	 0	 6.376891E-01	 1	 
1	 5.000000E+02	 7.100000E+02	 1	 1	 3.018949E-01	 2	 
1	 4.166667E+02	 6.266667E+02	 1	 1	 5.842640E-01	 2	 
1	 3.846154E+02	 2.746154E+02	 -1	 1	 5.192089E-01	 1	 
1	 4.166667E+02	 6.266667E+02	 1	 1	 1.339328E+00	 2	 
1	 4.166667E+02	 6.266667E+02	 1	 1	 6.060600E-01	 2	 
1	 4.166667E+02	 2.316667E+02	 -1	 1	 5.908048E-01	 1	 
1	 5.000000E+02	 7.100000E+02	 1	 1	 5.357049E-01	 2	 
1	 4.166667E+02	 2.316667E+02	 -1	 1	 4.303000E-01	 1	 
1	 5.000000E+02	 6.850000E+02	 1	 1	 2.928221E-01	 2	 
1	 3.571429E+02	 5.921429E+02	 1	 1	 3.661468E-01	 2	 
1	 5.000000E+02	 3.150000E+02	 -1	 1	 2.568390E-01	 1	 
1	 4.166667E+02	 2.566667E+02	 -1	 1	 4.436250E-01	 1	 
1	 4.545455E+02	 1.695455E+02	 -1	 1	 5.742700E-01	 1	 
1	 4.166667E+02	 5.766667E+02	 1	 1	 6.183219E-01	 2	 
1	 3.571429E+02	 1.471429E+02	 -1	 1	 4.158709E-01	 1	 
1	 4.545455E+02	 1.945455E+02	 -1	 1	 3.575981E-01	 1	 
1	 4.166667E+02	 2.816667E+02	 -1	 1	 3.256109E-01	 1	 
1	 3.571429E+02	 5.671429E+02	 1	 1	 2.447779E-01	 2	 
2	 3.846154E+02	 4.696154E+02	 1	 1	 5.370381E-01	 2	 
2	 4.545455E+02	 2.195455E+02	 -1	 1	 4.049981E-01	 1	 
2	 3.571429E+02	 1.971429E+02	 -1	 1	 3.642421E-01	 1	 
2	 3.571429E+02	 2.471429E+02	 -1	 1	 3.118391E-01	 1	 
2	 4.545455E+02	 1.945455E+02	 -1	 1	 3.535740E-01	 1	 
2	 5.000000E+02	 6.850000E+02	 1	 1	 3.162901E-01	 2	 
2	 4.166667E+02	 3.066667E+02	 -1	 1	 5.329411E-01	 1	 
2	 3.846154E+02	 2.996154E+02	 -1	 1	 4.139349E-01	 1	 
2	 4.545455E+02	 2.445455E+02	 -1	 1	 5.046110E-01	 1	 
2	 3.571429E+02	 4.421429E+02	 1	 1	 4.219480E-01	 2	 
2	 3.846154E+02	 4.696154E+02	 1	 1	 2.634361E-01	 2	 
2	 4.545455E+02	 6.645455E+02	 1	 1	 3.378749E-01	 2	 
2	 3.846154E+02	 4.696154E+02	 1	 1	 4.190581E-01	 2	 
2	 4.166667E+02	 5.266667E+02	 1	 1	 6.140592E-01	 2	 
2	 4.545455E+02	 6.395455E+02	 1	 1	 7.194569E-01	 2	 
2	 4.545455E+02	 6.395455E+02	 1	 1	 5.568171E-01	 2	 
2	 3.571429E+02	 2.721429E+02	 -1	 1	 5.296531E-01	 1	 
2	 3.846154E+02	 2.996154E+02	 -1	 1	 3.815899E-01	 1	 
2	 4.545455E+02	 7.395455E+02	 1	 1	 3.950889E-01	 2	 
2	 5.000000E+02	 6.850000E+02	 1	 1	 3.146570E-01	 2	 
2	 4.545455E+02	 6.395455E+02	 1	 1	 2.757142E-01	 2	 
2	 4.166667E+02	 3.316667E+02	 -1	 1	 5.140469E-01	 1	 
2	 5.000000E+02	 6.850000E+02	 1	 1	 2.734149E-01	 2	 
2	 3.846154E+02	 2.996154E+02	 -1	 1	 1.560092E+00	 1	 
2	 5.000000E+02	 3.400000E+02	 -1	 1	 3.212481E-01	 1	 
2	 3.846154E+02	 4.696154E+02	 1	 1	 3.198619E-01	 2	 
2	 4.545455E+02	 6.145455E+02	 1	 1	 3.194771E-01	 2	 
2	 5.000000E+02	 6.600000E+02	 1	 1	 2.722881E-01	 2	 
2	 4.545455E+02	 2.945455E+02	 -1	 1	 3.885381E-01	 1	 
2	 3.846154E+02	 4.446154E+02	 1	 1	 4.255390E-01	 2	 
2	 4.166667E+02	 3.316667E+02	 -1	 1	 5.540259E-01	 1	 
2	 4.545455E+02	 2.945455E+02	 -1	 1	 3.857479E-01	 1	 
2	 5.000000E+02	 3.400000E+02	 -1	 1	 3.757851E-01	 1	 
2	 3.571429E+02	 2.721429E+02	 -1	 1	 3.721490E-01	 1	 
2	 3.571429E+02	 4.421429E+02	 1	 0	 9.326870E-01	 1	 
